actorName,movieCount,ratingSum,normalizedMovieRank,googleHits,normalizedGoogleRank,normalizedRating
Riya Sen,5,170,2.369570017,0,0,1.780550003
Bhoomika Chawla,5,170,2.369570017,0,0,1.780550003
Tulip Joshi,5,170,2.369570017,0,0,1.780550003
Vijay Raaz,11,240,1.177870035,71000,1.179730058,1.77373004
Hrishitaa Bhatt,9,200,1.217389941,46800,1.117300034,1.76067996
Dinesh Hingoo,7,160,1.279500008,17000,1.04042995,1.752269983
Sadashiv Amrapurkar,11,230,1.088930011,88700,1.225399971,1.749070048
Mohnish Bahl,10,220,1.195649981,20600,1.049710035,1.709769964
Farooq Shaikh,7,140,1,94000,1.239070058,1.706179976
Vikram Gokhale,7,150,1.139750004,31900,1.078860044,1.694519997
Govind Namdeo,6,130,1.163040042,17900,1.042750001,1.687209964
Kurush Deboo,6,130,1.163040042,8340,1.018079996,1.673159957
Sahil Khan,5,160,2.173909903,0,0,1.669049978
Yash Tonk,5,160,2.173909903,0,0,1.669049978
Ishrat Ali,5,100,1,68100,1.172250032,1.668099999
Milind Gunaji,10,200,1,24300,1.059260011,1.603700042
Sudesh Berry,6,120,1,16100,1.038100004,1.591650009
Rajit Kapoor,6,120,1,15900,1.037590027,1.591349959
Nassar Abdulla,6,120,1,7290,1.015380025,1.578690052
Snehal Dabi,7,140,1,1330,1,1.569929957
Sandali Sinha,4,120,1.97826004,0,0,1.557540059
Kader Khan,5,150,1.97826004,0,0,1.557540059
Rajeev Khandelwal,4,120,1.97826004,0,0,1.557540059
Anupama Verma,4,120,1.97826004,0,0,1.557540059
Anang Desai,4,120,1.97826004,0,0,1.557540059
Himesh Reshammiya,5,150,1.97826004,0,0,1.557540059
Bharati Achrekar,4,120,1.97826004,0,0,1.557540059
Ashish Vidyarthi,4,120,1.97826004,0,0,1.557540059
Purab Kohli,5,150,1.97826004,0,0,1.557540059
Ila Arun,5,140,1.782610059,0,0,1.446030021
Ram Kapoor,5,140,1.782610059,0,0,1.446030021
Manoj Joshi,5,140,1.782610059,0,0,1.446030021
Preeti Jhangiani,5,140,1.782610059,0,0,1.446030021
Jacky Bhagnani,5,140,1.782610059,0,0,1.446030021
Anuj Sawhney,4,110,1.733700037,0,0,1.418149948
Neha Sharma,5,130,1.586959958,0,0,1.334519982
Neena Gupta,4,100,1.48913002,0,0,1.27876997
Gajendra Chouhan,4,100,1.48913002,0,0,1.27876997
Perizaad Zorabian,4,100,1.48913002,0,0,1.27876997
Aryan Vaid,4,100,1.48913002,0,0,1.27876997
Prateik,4,100,1.48913002,0,0,1.27876997
Sayaji Shinde,4,100,1.48913002,0,0,1.27876997
Anita Hassandani,4,100,1.48913002,0,0,1.27876997
Pooja Batra,4,100,1.48913002,0,0,1.27876997
Vatsal Seth,5,120,1.391299963,0,0,1.223019958
Suman Ranganathan,5,120,1.391299963,0,0,1.223019958
Javed Jaffrey,5,120,1.391299963,0,0,1.223019958
Mukesh Bhatt,5,120,1.391299963,0,0,1.223019958
Arjan Bajwa,4,90,1.244570017,0,0,1.139379978
Kabir Bedi,4,90,1.244570017,0,0,1.139379978
Mukul Dev,4,90,1.244570017,0,0,1.139379978
Shawar Ali,4,90,1.244570017,0,0,1.139379978
Ayesha Jhulka,4,90,1.244570017,0,0,1.139379978
Rajesh Khanna,4,90,1.244570017,0,0,1.139379978
Birbal,4,90,1.244570017,0,0,1.139379978
Sayali Bhagat,4,90,1.244570017,0,0,1.139379978
Kiran Kumar,5,110,1.195649981,0,0,1.111510038
Chunky Pandey,5,110,1.195649981,0,0,1.111510038
Mandira Bedi,5,110,1.195649981,0,0,1.111510038
Makrand Deshpande,5,110,1.195649981,0,0,1.111510038
Aditya Srivastava,5,110,1.195649981,0,0,1.111510038
Nauheed Cyrusi,5,100,1,0,0,1
Abhay Bhargav,4,80,1,0,0,1
Prashant Narayanan,4,80,1,0,0,1
Puru Rajkumar,4,80,1,0,0,1
Rohini Hattangadi,4,80,1,0,0,1
Mukesh Ahuja,4,80,1,0,0,1
Nagesh Bhonsle,5,100,1,0,0,1
Shweta Bhardwaj,5,100,1,0,0,1
Vikas Anand,4,80,1,0,0,1
Akhilendra Mishra,4,80,1,0,0,1
Rituparna Sengupta,4,80,1,0,0,1
Hazel Croney,5,100,1,0,0,1
Harman Baweja,4,80,1,0,0,1
Sudha Chandran,4,80,1,0,0,1
Shabana Azmi,4,80,1,0,0,1
Benjamin Gilani,4,80,1,0,0,1
Dev Anand,4,80,1,0,0,1
Tanvi Azmi,4,80,1,0,0,1
Adi Irani,4,80,1,0,0,1
Achint Kaur,4,80,1,0,0,1
Yuvika Chaudhry,5,100,1,0,0,1
Pankaj Berry,5,100,1,0,0,1
